CustomerID,InvoiceDate
17069,01/01/2021
NA,01/01/2021
17085,01/01/2021
12721,01/01/2021
16422,01/01/2021
15312,01/01/2021
14298,01/01/2021
14527,01/01/2021
13319,01/01/2021
18097,01/01/2021
14083,01/01/2021
15867,01/01/2021
15460,01/01/2021
15034,02/01/2021
17961,02/01/2021
12423,02/01/2021
NA,02/01/2021
15208,02/01/2021
14911,02/01/2021
16270,02/01/2021
14646,02/01/2021
12748,02/01/2021
16477,03/01/2021
17894,03/01/2021
NA,03/01/2021
13922,04/01/2021
14085,04/01/2021
NA,04/01/2021
12585,04/01/2021
14911,04/01/2021
18116,04/01/2021
16656,16/01/2021
16255,16/01/2021
14606,16/01/2021
17841,16/01/2021
NA,16/01/2021
14210,16/01/2021
17975,16/01/2021
13680,16/01/2021
15164,16/01/2021
14221,16/01/2021
15808,16/01/2021
13694,17/01/2021
12921,17/01/2021
15841,17/01/2021
NA,17/01/2021
15311,17/01/2021
13089,17/01/2021
14527,17/01/2021
18109,17/01/2021
16033,17/01/2021
15093,17/01/2021
14653,17/01/2021
15358,17/01/2021
15464,17/01/2021
15034,17/01/2021
15298,17/01/2021
13097,18/01/2021
18062,18/01/2021
15271,18/01/2021
12415,18/01/2021
17368,18/01/2021
13680,18/01/2021
14680,18/01/2021
14258,18/01/2021
15719,18/01/2021
17634,18/01/2021
12841,18/01/2021
15379,18/01/2021
18283,18/01/2021
12735,18/01/2021
NA,18/01/2021
13576,18/01/2021
13656,18/01/2021
14505,18/01/2021
13081,18/01/2021
15845,18/01/2021
14702,18/01/2021
13187,18/01/2021
16551,19/01/2021
13842,19/01/2021
NA,19/01/2021
12829,19/01/2021
12583,19/01/2021
14217,19/01/2021
12501,19/01/2021
16779,19/01/2021
14298,19/01/2021
12484,19/01/2021
15601,19/01/2021
15311,19/01/2021
13233,19/01/2021
12480,19/01/2021
14672,19/01/2021
13593,19/01/2021
17243,21/01/2021
16923,21/01/2021
13162,21/01/2021
13183,21/01/2021
17796,21/01/2021
14800,21/01/2021
17114,21/01/2021
15708,21/01/2021
16326,21/01/2021
12793,21/01/2021
17555,21/01/2021
14606,21/01/2021
17800,21/01/2021
16748,21/01/2021
14755,21/01/2021
14702,21/01/2021
15005,21/01/2021
13565,21/01/2021
17841,21/01/2021
14395,21/01/2021
13451,21/01/2021
12766,21/01/2021
NA,22/01/2021
12500,22/01/2021
13004,22/01/2021
12524,22/01/2021
14321,22/01/2021
14229,22/01/2021
16497,22/01/2021
17406,22/01/2021
15061,22/01/2021
15281,22/01/2021
15311,22/01/2021
15867,22/01/2021
17450,23/01/2021
14320,23/01/2021
12393,23/01/2021
17742,23/01/2021
16122,23/01/2021
12601,23/01/2021
17365,23/01/2021
12540,23/01/2021
14669,23/01/2021
14209,23/01/2021
NA,23/01/2021
13102,23/01/2021
12724,23/01/2021
13862,23/01/2021
NA,24/01/2021
12523,24/01/2021
13488,24/01/2021
18109,24/01/2021
17841,24/01/2021
14587,24/01/2021
14606,24/01/2021
15311,24/01/2021
17338,24/01/2021
12652,24/01/2021
14167,24/01/2021
17364,24/01/2021
NA,25/01/2021
12951,25/01/2021
15835,25/01/2021
16161,25/01/2021
13993,25/01/2021
14085,25/01/2021
16315,25/01/2021
13093,25/01/2021
16395,25/01/2021
16503,25/01/2021
15513,25/01/2021
16814,25/01/2021
13246,25/01/2021
15107,25/01/2021
15916,25/01/2021
18085,25/01/2021
12490,26/01/2021
13385,26/01/2021
15626,26/01/2021
NA,26/01/2021
16233,26/01/2021
15213,26/01/2021
17581,26/01/2021
18106,26/01/2021
14646,26/01/2021
17685,26/01/2021
15033,26/01/2021
15570,26/01/2021
14329,26/01/2021
17402,26/01/2021
14156,26/01/2021
17954,26/01/2021
16746,28/01/2021
16206,28/01/2021
12748,28/01/2021
15046,28/01/2021
17841,28/01/2021
13048,28/01/2021
13634,28/01/2021
17064,28/01/2021
12779,29/01/2021
15696,29/01/2021
14176,29/01/2021
12673,29/01/2021
14135,29/01/2021
15296,29/01/2021
17690,29/01/2021
13001,29/01/2021
14606,29/01/2021
14667,29/01/2021
15311,29/01/2021
14898,29/01/2021
13769,29/01/2021
13209,29/01/2021
17730,29/01/2021
13983,29/01/2021
13929,29/01/2021
13089,29/01/2021
16033,29/01/2021
NA,29/01/2021
13898,30/01/2021
16422,30/01/2021
12527,30/01/2021
18118,30/01/2021
15061,30/01/2021
12510,30/01/2021
NA,30/01/2021
12665,31/01/2021
12451,31/01/2021
17091,31/01/2021
14769,31/01/2021
14527,31/01/2021
17722,31/01/2021
12681,31/01/2021
13520,31/01/2021
12826,31/01/2021
15311,31/01/2021
17097,31/01/2021
17841,31/01/2021
NA,31/01/2021
17611,31/01/2021
17602,31/01/2021
14031,31/01/2021
17811,01/02/2021
17418,01/02/2021
14779,01/02/2021
17787,01/02/2021
14735,01/02/2021
12402,01/02/2021
17771,01/02/2021
15498,01/02/2021
NA,01/02/2021
15174,02/02/2021
17504,02/02/2021
17890,02/02/2021
14088,02/02/2021
17094,02/02/2021
13969,02/02/2021
NA,02/02/2021
17799,02/02/2021
17889,02/02/2021
17714,04/02/2021
12916,04/02/2021
17769,04/02/2021
14450,04/02/2021
13659,04/02/2021
16931,04/02/2021
13050,04/02/2021
15443,04/02/2021
17611,04/02/2021
14224,04/02/2021
18283,04/02/2021
13742,04/02/2021
14606,04/02/2021
14068,04/02/2021
NA,05/02/2021
14796,05/02/2021
16558,05/02/2021
13819,05/02/2021
18161,05/02/2021
15820,05/02/2021
13396,05/02/2021
14911,05/02/2021
14130,05/02/2021
12417,06/02/2021
16029,06/02/2021
13158,06/02/2021
NA,06/02/2021
14257,06/02/2021
14298,06/02/2021
15311,06/02/2021
15601,06/02/2021
13815,06/02/2021
14680,06/02/2021
17236,06/02/2021
16531,06/02/2021
15339,06/02/2021
12854,06/02/2021
16222,06/02/2021
13168,06/02/2021
17515,06/02/2021
17082,06/02/2021
13468,06/02/2021
15061,07/02/2021
12782,07/02/2021
13491,07/02/2021
14049,07/02/2021
16422,07/02/2021
12472,07/02/2021
14606,07/02/2021
17027,07/02/2021
12347,07/02/2021
12591,07/02/2021
17841,07/02/2021
NA,07/02/2021
14442,08/02/2021
16496,08/02/2021
13089,08/02/2021
12764,08/02/2021
14440,08/02/2021
NA,08/02/2021
15910,08/02/2021
12826,08/02/2021
14709,08/02/2021
17213,08/02/2021
16814,08/02/2021
18125,08/02/2021
13328,08/02/2021
14541,08/02/2021
17757,08/02/2021
13280,08/02/2021
17180,08/02/2021
12853,09/02/2021
16327,09/02/2021
15527,09/02/2021
13694,09/02/2021
13707,09/02/2021
12735,09/02/2021
NA,09/02/2021
12431,09/02/2021
